iso,year,GDP,SOURCE_GDP,POP,SOURCE_POP,SOURCE_SH_PRIM,SOURCE_SH_SECD,SH_PRIM,SH_SECD
FRA,1870,951172352.0,FRA TOUTAIN,38440.0,MADDISON,GGDC,GGDC,39.40749740600586,35.10647201538086
USA,1870,1398348032.0,USA MEASURING,40240.62890625,MADDISON,,,,
NLD,1870,78154408.0,GGDC,3610.0,MADDISON,GGDC,GGDC,29.095748901367188,26.304275512695312
GBR,1870,1026125248.0,GBR BROADBERRY,31400.0,MADDISON,GBR BROADBERRY,GBR BROADBERRY,22.100000381469727,36.400001525878906
SWE,1870,55054564.0,SWE EDVINSSON,4164.0,MADDISON,GGDC,GGDC,40.90475845336914,20.9329833984375
ESP,1870,242280128.0,GGDC,16201.0,MADDISON,GGDC,GGDC,37.62079620361328,20.54717254638672
ESP,1871,260895840.0,GGDC,16258.0,MADDISON,GGDC,GGDC,38.38229751586914,20.898405075073242
DEU,1871,709069568.0,DEU FREMDLING,39456.0,MADDISON,,,,
GBR,1871,1133294720.0,GBR BROADBERRY,31685.0,MADDISON,,,,
NLD,1871,81471024.0,GGDC,3636.0,MADDISON,GGDC,GGDC,28.289508819580078,25.717735290527344
SWE,1871,57937208.0,SWE EDVINSSON,4186.0,MADDISON,GGDC,GGDC,40.356117248535156,20.579612731933594
USA,1871,1404227968.0,USA MEASURING,41098.0,MADDISON,,,,
FRA,1871,926439872.0,FRA TOUTAIN,37731.0,MADDISON,GGDC,GGDC,39.69208908081055,32.73879623413086
SWE,1872,65124956.0,SWE EDVINSSON,4227.0,MADDISON,GGDC,GGDC,38.29485321044922,22.412195205688477
GBR,1872,1220000000.0,GBR BROADBERRY,31874.0,MADDISON,,,,
FRA,1872,977986496.0,FRA TOUTAIN,37679.0,MADDISON,GGDC,GGDC,36.963584899902344,37.26372528076172
DEU,1872,854930304.0,DEU FREMDLING,39691.0,MADDISON,,,,
USA,1872,1526363264.0,USA MEASURING,42136.0,MADDISON,,,,
ESP,1872,292385056.0,GGDC,16315.0,MADDISON,GGDC,GGDC,41.65068817138672,20.48944664001465
NLD,1872,90862096.0,GGDC,3662.0,MADDISON,GGDC,GGDC,26.1473388671875,28.981491088867188
GBR,1873,1280000000.0,GBR BROADBERRY,32177.0,MADDISON,,,,
DEU,1873,901247424.0,DEU FREMDLING,40017.0,MADDISON,,,,
FRA,1873,951845952.0,FRA TOUTAIN,37887.0,MADDISON,GGDC,GGDC,32.97604751586914,40.267635345458984
ESP,1873,310224128.0,GGDC,16372.0,MADDISON,GGDC,GGDC,39.698692321777344,22.139514923095703
SWE,1873,76144664.0,SWE EDVINSSON,4274.0,MADDISON,GGDC,GGDC,35.34416961669922,23.969913482666016
USA,1873,1593311104.0,USA MEASURING,43174.0,MADDISON,,,,
NLD,1873,98034872.0,GGDC,3670.0,MADDISON,GGDC,GGDC,24.386098861694336,32.853492736816406
DEU,1874,936019072.0,DEU FREMDLING,40450.0,MADDISON,,,,
ESP,1874,309384608.0,GGDC,16429.0,MADDISON,GGDC,GGDC,37.44758224487305,20.230810165405273
